"";"X";"Name";"Platform";"Year_of_Release";"Genre";"Publisher";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales";"Global_Sales";"Critic_Score";"Critic_Count";"User_Score";"User_Count";"Developer";"Rating";"Top_20_Devs";"Dev_Count"
"113";113;"Assassin's Creed";"X360";"2007";"Adventure";"Ubisoft";3,28;1,64;0,07;0,56;5,54;81;77;7,7;1074;"Ubisoft Montreal";"M";0;88
"114";114;"Forza Motorsport 3";"X360";"2009";"Racing";"Microsoft Game Studios";2,99;1,9;0,1;0,5;5,49;92;90;8,1;516;"Turn 10";"E";1;5
"115";115;"Super Mario Advance";"GBA";"2001";"Platform";"Nintendo";3,14;1,24;0,91;0,2;5,49;84;19;7,3;41;"Nintendo";"E";1;67
"116";116;"Monster Hunter Freedom Unite";"PSP";"2008";"Role-Playing";"Capcom";0,47;0,55;4,13;0,34;5,48;81;48;8,5;124;"Capcom";"T";0;128
"117";117;"Batman: Arkham City";"PS3";"2011";"Action";"Warner Bros. Interactive Entertainment";2,71;1,85;0,11;0,81;5,48;96;42;8,7;2162;"Rocksteady Studios";"T";0;11
"118";118;"Grand Theft Auto V";"XOne";"2014";"Action";"Take-Two Interactive";2,81;2,19;0;0,47;5,48;97;14;7,9;764;"Rockstar North";"M";1;14
"119";119;"Mario Kart: Super Circuit";"GBA";"2001";"Racing";"Nintendo";2,62;1,64;0,99;0,23;5,47;93;24;8,3;108;"Intelligent Systems";"E";0;19
"120";120;"Crash Bandicoot: The Wrath of Cortex";"PS2";"2001";"Platform";"Universal Interactive";2,07;2,29;0,24;0,82;5,42;66;22;7,2;156;"Traveller's Tales";"E";0;68
"121";121;"Call of Duty: World at War";"PS3";"2008";"Shooter";"Activision";2,73;1,83;0;0,83;5,39;85;45;7,6;409;"Treyarch";"M";1;42
"122";122;"Uncharted 4: A Thief's End";"PS4";"2016";"Shooter";"Sony Computer Entertainment";1,85;2,5;0,19;0,85;5,38;93;113;8,3;7064;"Naughty Dog";"T";1;10
"123";123;"Final Fantasy XIII";"PS3";"2009";"Role-Playing";"Square Enix";1,74;1,21;1,87;0,51;5,33;83;83;7,2;2483;"Square Enix";"T";0;40
"124";124;"Final Fantasy IX";"PS";"2000";"Role-Playing";"SquareSoft";1,62;0,77;2,78;0,14;5,3;94;22;8,9;779;"SquareSoft";"T";0;15
"125";125;"Assassin's Creed III";"X360";"2012";"Action";"Ubisoft";3,13;1,69;0,03;0,44;5,29;84;61;6,8;1196;"Ubisoft";"M";0;106
"126";126;"Final Fantasy X-2";"PS2";"2003";"Role-Playing";"Electronic Arts";1,92;1,08;2,11;0,17;5,29;85;45;7,4;400;"SquareSoft";"T";0;15
"127";127;"Call of Duty: Advanced Warfare";"XOne";"2014";"Shooter";"Activision";3,22;1,55;0,01;0,48;5,27;81;53;5,4;898;"Sledgehammer Games";"M";1;3
"128";128;"Assassin's Creed II";"X360";"2009";"Action";"Ubisoft";3,11;1,55;0,08;0,51;5,26;90;82;8,8;1305;"Ubisoft Montreal";"M";0;88
"129";129;"Madden NFL 2004";"PS2";"N/A";"Sports";"Electronic Arts";4,26;0,26;0,01;0,71;5,23;94;29;8,4;140;"EA Tiburon";"E";0;88
"130";130;"New Super Mario Bros. U";"WiiU";"2012";"Platform";"Nintendo";2,3;1,34;1,27;0,32;5,22;84;70;8,1;733;"Nintendo";"E";1;67
"131";131;"Dragon Quest VIII: Journey of the Cursed King";"PS2";"2004";"Role-Playing";"Square Enix";0,65;0,75;3,61;0,2;5,21;89;63;8,9;245;"Level 5";"T";1;15
"132";132;"Professor Layton and the Curious Village";"DS";"2007";"Puzzle";"Nintendo";1,21;2,43;1,03;0,52;5,19;85;72;8,5;147;"Level 5";"E";1;15
"133";133;"FIFA Soccer 13";"X360";"2012";"Action";"Electronic Arts";1,09;3,47;0,03;0,57;5,16;90;48;6,1;403;"Electronic Arts";"E";0;68
"134";134;"Diablo III";"PC";"2012";"Role-Playing";"Activision";2,44;2,16;0;0,54;5,14;88;86;4,1;9629;"Blizzard Entertainment";"M";0;20
"135";135;"Medal of Honor: Rising Sun";"PS2";"2003";"Shooter";"Electronic Arts";1,98;2,23;0,13;0,8;5,13;68;30;7,6;100;"EA LA";"T";0;16
"136";136;"Guitar Hero II";"PS2";"2006";"Misc";"RedOctane";3,81;0,63;0;0,68;5,12;92;69;8,5;112;"Harmonix Music Systems";"T";0;32
"137";137;"Fable III";"X360";"2010";"Role-Playing";"Microsoft Game Studios";3,59;1,08;0,05;0,38;5,1;80;88;6,5;604;"Lionhead Studios";"M";0;6
"138";138;"Resident Evil 5";"PS3";"2009";"Action";"Capcom";1,96;1,41;1,08;0,64;5,09;84;76;7,5;667;"Capcom";"M";0;128
"139";139;"The Legend of Zelda: Phantom Hourglass";"DS";"2007";"Action";"Nintendo";1,85;1,8;0,95;0,48;5,08;90;57;8;416;"Nintendo";"E";1;67
"140";140;"FIFA Soccer 11";"PS3";"2010";"Sports";"Electronic Arts";0,61;3,28;0,06;1,12;5,07;89;51;8;233;"EA Sports";"E";0;146
"141";141;"Resident Evil";"PS";"1996";"Action";"Virgin Interactive";2,05;1,16;1,11;0,73;5,05;91;8;9;266;"Capcom";"M";0;128
"142";142;"Grand Theft Auto: Vice City Stories";"PSP";"2006";"Action";"Take-Two Interactive";1,7;1,99;0,16;1,18;5,03;86;50;8,1;150;"Rockstar Leeds";"M";1;9
"143";143;"Tony Hawk's Pro Skater";"PS";"1999";"Sports";"Activision";3,42;1,38;0,02;0,2;5,02;92;18;8,9;69;"Neversoft Entertainment";"T";0;43
"144";144;"Guitar Hero III: Legends of Rock";"PS2";"2007";"Misc";"Activision";3,49;0,01;0,01;1,48;4,98;82;24;8,4;46;"Neversoft Entertainment, BudCat";"T";0;1
"145";145;"Link's Crossbow Training";"Wii";"2007";"Shooter";"Nintendo";3,05;1,17;0,29;0,46;4,98;68;34;7,1;47;"Nintendo";"T";1;67
"146";146;"Fallout 3";"X360";"2008";"Role-Playing";"Bethesda Softworks";3,4;0,99;0,09;0,45;4,93;93;84;8,5;1655;"Bethesda Game Studios";"M";1;9
"147";147;"Uncharted: Drake's Fortune";"PS3";"2007";"Action";"Sony Computer Entertainment";2,31;1,72;0,12;0,77;4,92;88;66;8;2306;"Naughty Dog, SCE/WWS";"T";1;1
"148";148;"Madden NFL 06";"PS2";"2005";"Sports";"Electronic Arts";3,98;0,26;0,01;0,66;4,91;88;29;8;121;"EA Sports";"E";0;146
"149";149;"StarCraft II: Wings of Liberty";"PC";"2010";"Strategy";"Activision";2,57;1,68;0;0,58;4,84;93;82;8,2;3052;"Blizzard Entertainment";"T";0;20
"150";150;"Assassin's Creed";"PS3";"2007";"Adventure";"Ubisoft";1,91;2;0,09;0,82;4,82;81;40;7,3;769;"Ubisoft Montreal";"M";0;88
"151";151;"God of War III";"PS3";"2010";"Action";"Sony Computer Entertainment";2,74;1,33;0,12;0,61;4,8;92;101;8,8;2633;"SCE Santa Monica";"M";0;5
"152";152;"Crash Team Racing";"PS";"1999";"Racing";"Sony Computer Entertainment";2,57;1,57;0,44;0,21;4,79;88;20;8,9;233;"Naughty Dog";"E";1;10
"153";153;"LEGO Star Wars: The Complete Saga";"DS";"2007";"Action";"LucasArts";2,83;1,48;0;0,45;4,76;80;9;5,5;46;"TT Fusion";"E";0;9
"154";154;"Driver 2";"PS";"2000";"Action";"Atari";2,36;2,1;0,02;0,25;4,73;62;14;7,8;92;"Reflections Interactive";"T";0;8
"155";155;"Batman: Arkham City";"X360";"2011";"Action";"Warner Bros. Interactive Entertainment";2,99;1,27;0,04;0,42;4,73;94;87;8,7;1472;"Rocksteady Studios";"T";0;11
"156";156;"Tony Hawk's Pro Skater 2";"PS";"2000";"Sports";"Activision";3,05;1,41;0,02;0,2;4,68;98;19;7,4;299;"Neversoft Entertainment";"T";0;43
"157";157;"The Lord of the Rings: The Two Towers";"PS2";"2002";"Action";"Electronic Arts";1,94;1,95;0,08;0,7;4,67;82;32;8,1;78;"Stormfront Studios";"T";0;8
"158";158;"Tomb Raider";"PS";"1996";"Action";"Eidos Interactive";2,29;1,97;0,13;0,24;4,63;91;13;8,5;147;"Core Design Ltd.";"T";0;6
